,Unnamed: 0,unixepoch,pid,g_x,g_y,Rstep_len,Rstep,x_SG,y_SG,vx_SG,vy_SG,ng_x,ng_y,mov_x,mov_y,m_mov_x,m_mov_y,tL_x,tL_y,validTransition,K
144830,66000,1510230831168.0,13107942,13,43,159,152,13.980825065797454,42.96130376761038,-1.1400956059472782,0.0304025351965605,13.0,43.0,0,0,1,1,0,0,True,0
144834,66001,1510230831282.0,13107942,13,43,159,153,12.836128304745088,43.00593966469194,-1.1593845007131274,0.0404926117731447,12.0,43.0,-1,0,0,1,1,0,True,3
144835,66002,1510230831381.0,13107942,12,43,159,154,11.662111928812806,43.03656266255534,-1.2023218923280372,0.0354600930207055,11.0,43.0,-1,0,0,1,1,0,True,3
144840,66003,1510230831480.0,13107942,11,43,159,155,10.426968902555224,43.03855945840058,-1.282620582873272,0.0167701419789067,9.0,43.0,-1,0,0,1,2,0,False,3
144843,66004,1510230831579.0,13107942,9,43,159,156,9.082708747797014,43.011221001952016,-1.418837208103643,-0.0109539315636168,7.0,43.0,-1,0,0,1,2,0,False,3
144844,66005,1510230831689.0,13107942,7,43,159,157,7.560389797931293,42.97779114423624,-1.6353031837851448,-0.0390749431911178,6.0,43.0,-1,0,0,1,1,0,True,3
162716,103251,1510231194584.0,13108495,195,46,169,0,195.04169579546485,46.017072400475385,-1.442759127148584,1.2604089674176704,194.0,47.0,-1,1,0,0,1,1,True,6
162723,103252,1510231194683.0,13108495,194,47,169,1,193.69796453799236,46.88739975869277,-1.2078486369709898,0.5193718143067074,192.0,47.0,-1,0,0,1,2,0,False,3
162727,103253,1510231194783.0,13108495,192,47,169,2,192.5639929787456,47.161853313898256,-1.068822172274301,0.0723968870956626,192.0,47.0,0,0,1,1,0,0,True,0
162736,103254,1510231194882.0,13108495,192,47,169,3,191.54482259735212,47.09689256250216,-0.9973289204428902,-0.1658456674937234,190.0,47.0,-1,0,0,1,2,0,False,3
162748,103255,1510231194981.0,13108495,190,47,169,4,190.5752764664709,46.869717247355,-0.9711359753195518,-0.2629286448533752,190.0,47.0,0,0,1,1,0,0,True,0
162753,103256,1510231195080.0,13108495,190,47,169,5,189.6134607334164,46.5957132475222,-0.9732494934574067,-0.2710782274087326,189.0,46.0,-1,-1,0,2,1,1,True,7
162763,103257,1510231195180.0,13108495,189,46,169,6,188.6351552168259,46.343401077822506,-0.9910993964613072,-0.2294220839826071,188.0,46.0,-1,0,0,1,1,0,True,3
162765,103258,1510231195279.0,13108495,188,46,169,7,187.62903646322172,46.147064190892046,-1.0157876194187323,-0.1660751236030275,186.0,46.0,-1,0,0,1,2,0,False,3
162779,103259,1510231195378.0,13108495,186,46,169,8,186.5926766083243,46.01723427453636,-1.0413999054201857,-0.1000629037550941,185.0,46.0,-1,0,0,1,1,0,True,3
162787,103260,1510231195477.0,13108495,185,46,169,9,185.529261387968,45.9492107371325,-1.064381146169083,-0.0430826930768197,184.0,46.0,-1,0,0,1,1,0,True,3
162791,103261,1510231195576.0,13108495,184,46,169,10,184.44497064347556,45.92979157384348,-1.0829742686811406,-0.0011021884989832,184.0,46.0,0,0,1,1,0,0,True,0
162801,103262,1510231195676.0,13108495,184,46,169,11,183.34696466634372,45.94239280640704,-1.0967226680732578,0.0242041131710382,183.0,46.0,-1,0,0,1,1,0,True,3
162809,103263,1510231195775.0,13108495,183,46,169,12,182.24191972709468,45.97073368926121,-1.1060361864418942,0.0341808892214055,181.0,46.0,-1,0,0,1,2,0,False,3
162819,103264,1510231195874.0,13108495,181,46,169,13,181.13505613314672,46.00126487476853,-1.1118206378309488,0.0320803105640081,180.0,46.0,-1,0,0,1,1,0,True,3
162824,103265,1510231195973.0,13108495,180,46,169,14,180.0296021605586,46.02451673030137,-1.1151708792891215,0.0221127068185746,178.0,46.0,-1,0,0,1,2,0,False,3
162835,103266,1510231196073.0,13108495,178,46,169,15,178.9266372459468,46.03554501061219,-1.1171274242340057,0.0086595779242099,178.0,46.0,0,0,1,1,0,0,True,0
162839,103267,1510231196172.0,13108495,178,46,169,16,177.86596595655314,46.03662911625728,-1.1207424926732643,-0.0032911718715402,177.0,46.0,-1,0,0,1,1,0,True,3
162847,103268,1510231196271.0,13108495,177,46,169,17,176.78065157932966,46.04624577103746,-1.1252989092066246,-0.010452361928418,176.0,46.0,-1,0,0,1,1,0,True,3
162862,103269,1510231196370.0,13108495,176,46,169,18,175.62418835074126,46.03107466910002,-1.1307306283876255,-0.0115618817859407,175.0,46.0,-1,0,0,1,1,0,True,3
162869,103270,1510231196474.0,13108495,175,46,169,19,174.4470400220418,45.99793929891619,-1.1331199060621544,-0.0089175060280043,173.0,46.0,-1,0,0,1,2,0,False,3
162875,103271,1510231196573.0,13108495,173,46,169,20,173.23801516112502,45.97115004631452,-1.1282746213618575,-0.0040355404669234,171.0,46.0,-1,0,0,1,2,0,False,3
162886,103272,1510231196673.0,13108495,171,46,169,21,172.10268178926646,46.00000001065472,-1.116472159258267,-0.0014388004057992,171.0,46.0,0,0,1,1,0,0,True,0
162891,103273,1510231196772.0,13108495,171,46,169,22,171.0477453276333,46.00000001065472,-1.09808843713726,-0.0028648258597991,171.0,46.0,0,0,1,1,0,0,True,0
162905,103274,1510231196871.0,13108495,171,46,169,23,170.01638825487973,46.00000001065472,-1.0846973134889382,-0.0068576910925586,169.0,46.0,-1,0,0,1,2,0,False,3
162913,103275,1510231196970.0,13108495,169,46,169,24,168.9172951682129,46.00000001065472,-1.0800630215421565,-0.0103657721202372,168.0,46.0,-1,0,0,1,1,0,True,3
162922,103276,1510231197070.0,13108495,168,46,169,25,167.88199996782748,46.00000001065472,-1.079711232532813,-0.0101700682655465,166.0,46.0,-1,0,0,1,2,0,False,3
162925,103277,1510231197169.0,13108495,166,46,169,26,166.7386252651228,46.02884997499486,-1.083418417297653,-0.0065862017581282,165.0,46.0,-1,0,0,1,1,0,True,3
162932,103278,1510231197268.0,13108495,165,46,169,27,165.61822285213617,46.00206072239325,-1.0873305701566245,0.0016976420574131,165.0,46.0,0,0,1,1,0,0,True,0
162943,103279,1510231197367.0,13108495,165,46,169,28,164.55475165493658,45.96892535220946,-1.092515655301134,0.0131107667789878,164.0,46.0,-1,0,0,1,1,0,True,3
162950,103280,1510231197467.0,13108495,164,46,169,29,163.50404994681628,45.95375425027201,-1.1057878466666216,0.0236585257368099,163.0,46.0,-1,0,0,1,1,0,True,3
162956,103281,1510231197566.0,13108495,163,46,169,30,162.4263552835547,45.93452094071201,-1.1218566635119345,0.0289506698960481,161.0,46.0,-1,0,0,1,2,0,False,3
162963,103282,1510231197665.0,13108495,161,46,169,31,161.23005873392316,45.991244263298846,-1.133168246464964,0.0257550447335754,160.0,46.0,-1,0,0,1,1,0,True,3
162974,103283,1510231197764.0,13108495,160,46,169,32,160.02416958025856,46.063861485653945,-1.1334288844552578,0.0153293217752478,158.0,46.0,-1,0,0,1,2,0,False,3
162980,103284,1510231197864.0,13108495,158,46,169,33,158.88460619215553,46.11489352690842,-1.1286254826834523,-0.0040326943888736,158.0,46.0,0,0,1,1,0,0,True,0
162989,103285,1510231197963.0,13108495,158,46,169,34,157.81995905918544,46.15370924626627,-1.1197317377878986,-0.0302206758913884,157.0,46.0,-1,0,0,1,1,0,True,3
163001,103286,1510231198062.0,13108495,157,46,169,35,156.7722121311059,46.09016753688141,-1.1165822472251494,-0.0573244551645194,156.0,46.0,-1,0,0,1,1,0,True,3
163010,103287,1510231198161.0,13108495,156,46,169,36,155.7309629131964,45.97798683557647,-1.1192875101615858,-0.0779548238802738,154.0,46.0,-1,0,0,1,2,0,False,3
163014,103288,1510231198260.0,13108495,154,46,169,37,154.48071106332378,45.85264509174159,-1.124828100355192,-0.089755921065597,153.0,46.0,-1,0,0,1,1,0,True,3
163023,103289,1510231198360.0,13108495,153,46,169,38,153.25832364376885,45.73595742619559,-1.1252664514991486,-0.0906763260608378,153.0,46.0,0,0,1,1,0,0,True,0
163030,103290,1510231198459.0,13108495,153,46,169,39,152.15844854341617,45.639767920863065,-1.122995714965224,-0.0814572606930448,151.0,46.0,-1,0,0,1,2,0,False,3
163042,103291,1510231198558.0,13108495,151,46,169,40,151.0704796560848,45.54000979483104,-1.1229764948878689,-0.0646841141602042,150.0,45.0,-1,-1,0,2,1,1,True,7
163049,103292,1510231198682.0,13108495,150,45,169,41,150.0724811517359,45.52112722533198,-1.1277684322964547,-0.0439639959877634,149.0,45.0,-1,0,0,1,1,0,True,3
163053,103293,1510231198781.0,13108495,149,45,169,42,148.9845368617596,45.530613423028846,-1.1344395152701692,-0.0244319964142427,148.0,45.0,-1,0,0,1,1,0,True,3
163065,103294,1510231198881.0,13108495,148,45,169,43,147.71687974130785,45.53896613816818,-1.1353637223437718,-0.0116322920759615,146.0,45.0,-1,0,0,1,2,0,False,3
163067,103295,1510231198980.0,13108495,146,45,169,44,146.52178336039603,45.5330175867228,-1.1251860638424676,-0.0093317636002073,145.0,46.0,-1,1,0,0,1,1,True,6
163080,103296,1510231199079.0,13108495,145,46,169,45,145.38318109116324,45.51030657557474,-1.1063082977448957,-0.0163323955612365,144.0,46.0,-1,0,0,1,1,0,True,3
163092,103297,1510231199178.0,13108495,144,46,169,46,144.36826416166087,45.50334279107842,-1.0879993687406593,-0.0306518484768865,144.0,46.0,0,0,1,1,0,0,True,0
163097,103298,1510231199278.0,13108495,144,46,169,47,143.30270820197555,45.43387421236177,-1.0741344213657862,-0.0457360903769088,143.0,46.0,-1,0,0,1,1,0,True,3
